Name,Pick,Team,Class,School,POS,HT (ft),WT (lb),Arm Length (in),Hand Size (in),40 (s),10-yd (s),Shuttle (s),3Cone (s),Bench (reps),Vert (in),Broad Jump (ft),rSPARQ,pSPARQ,rSPARQ z-score,pSPARQ z-score
Arinze Agada,,,2014,McNeese State,OG,6.06,292,0,0,5.4,1.95,4.93,8.13,23,27,8.67,76.6,70.7,-1,-1.4
Ja'Terian Douglas,,,2014,Tulsa,RB,5.8,203,0,0,4.65,1.71,4.4,7.21,16,30.5,9.5,95.3,92.9,-1.2,-1.4
John Goodlett,,,2014,Oklahoma State,WR,5.85,179,0,0,4.68,1.63,4.37,7.22,10,35,9.8,90.8,90.5,-1.4,-1.4
Parker Holloway,,,2014,UNLV,OB,6.29,221,33.5,9.63,4.84,1.72,4.54,7.31,13,33.5,9.17,88.2,89.2,-1.4,-1.4
Darien Irby,,,2014,Morgan State,DS,5.75,188,0,0,4.7,1.6,4.41,7.29,16,33,9.67,93.7,91.5,-1.4,-1.4
Ryan Reardon,,,2014,Northern Arizona,OB,5.89,219,0,0,4.84,1.65,4.47,7.34,15,29,9.25,85.5,89.1,-1.6,-1.4
Nick Alexander,,,2014,Porland State,OB,6.34,247,0,0,4.9,1.73,4.53,7.82,18,29,9.25,89.2,86.2,-1.2,-1.4
Olaoluwa Falemi,,,2014,Texas Tech,CB,5.69,164,0,0,4.56,1.6,4.25,6.73,10,33,9.5,92.7,93.9,-1.3,-1.4
Corey Carmichael,,,2014,Middle Tennesee,OB,5.86,230,0,0,4.82,1.72,4.45,7.4,22,30.5,8.92,98.6,89,-0.7,-1.4
Marques Aiken,,,2014,Cincinnati,DE,6.36,266,0,0,5.09,1.83,4.85,7.58,25,28.5,9.33,84.7,86.1,-1.5,-1.4
Sean Conway,,,2014,Western Kentucky,OC,6.21,300,0,0,5.38,1.93,4.9,8.01,25,24,7.5,76.4,63.6,-0.8,-1.4
Donte Moore,,,2014,Rice,WR,5.97,176,32.63,9.38,4.64,1.71,4.58,7.14,13,36,10.3,87.9,90.2,-1.6,-1.4
Courtney Avery,,,2014,Michigan,CB,5.79,172,0,0,4.72,1.65,4.23,7.1,17,36.5,9.5,102.1,93.8,-0.6,-1.4
Ronald Baines,,,2014,Eastern Washington,CB,5.81,189,0,0,4.52,1.55,4.62,7.2,14,35,9.58,93,93.8,-1.3,-1.4
Phede Celestin,,,2014,Marist,OT,6.35,312,34.5,9.5,5.77,1.95,5.02,7.84,26,25.5,8.25,66.5,71,-1.6,-1.4
Clark Evans,,,2014,Hawaii,TE,6.24,240,0,0,5,1.72,4.53,7.27,20,30,8.5,87.2,82.3,-1.1,-1.4
Richard Abbe,,,2014,North Texas,DT,6.27,315,0,0,5.4,1.84,4.82,7.89,19,25.5,8,77.2,75.8,-1.3,-1.4
Corey Jones,,,2014,Memphis,DE,6.19,266,0,0,5.09,1.69,4.7,7.69,22,26.5,8.92,80.3,85.8,-1.8,-1.4
Toney Hurd Jr.,,,2014,Texas A&M,DS,5.72,178,29,9,4.64,1.64,4.2,6.79,16,31.5,9.17,98.8,91.1,-1,-1.4
Kevin Chillis,,,2014,Albany (NY),WR,5.67,174,0,0,4.66,1.58,4.34,6.94,9,31.5,9.8,85.2,90,-1.8,-1.4
Connor Boyett,,,2014,UAB,DE,6.35,278,0,0,5.06,1.73,4.65,7.5,19,25.5,8.58,80.9,85.7,-1.7,-1.4
Jarkevis Fields,,,2014,Bethune-Cookman,IB,5.85,226,32,8.75,4.76,1.61,4.58,7.5,25,28,9.17,93.6,90.1,-1.4,-1.4
Jeremy Johnson,,,2014,SMU,WR,5.87,185,30.88,8.75,4.64,1.62,4.44,6.91,15,32.5,9.5,92.3,89.9,-1.3,-1.4
Joe Rankin,,,2014,Morgan State,CB,5.77,185,0,0,4.59,1.63,4.41,6.84,15,34,9.33,97.6,93.5,-0.9,-1.4
Darius Robinson,,,2014,Clemson,CB,5.83,181,30,8.38,4.54,1.58,4.26,6.93,9,30,9.5,91.3,93.5,-1.4,-1.4
Raymond Sanders,,,2014,Kentucky,RB,5.55,198,0,0,4.53,1.65,4.42,7.4,14,28,9.58,91.5,92.1,-1.5,-1.4
Garrison Smith,,,2014,Georgia,DE,6.11,294,32.5,9.63,5.21,1.88,4.75,7.88,23,24.5,8.17,81.2,75.5,-1.1,-1.4
Tyree Robinson,,,2014,Western Kentucky,CB,5.78,198,0,0,4.66,1.61,4.3,7.02,18,30,9.42,98.7,93.4,-0.8,-1.4
Jordan Aumiller,,,2014,Kentucky,TE,6.36,232,0,0,5.09,1.76,4.53,7.53,20,31,9.5,82.4,81.9,-1.5,-1.4
Nicholas Kaspar,,,2014,San Jose State,OG,6.26,304,32.38,10.38,5.59,1.97,4.84,7.62,30,25.5,8.25,76.4,69.8,-1,-1.4
Damien Thigpen,,,2014,UCLA,RB,5.64,180,0,0,4.43,1.5,4.17,7.05,16,29,8.33,103.6,91.9,-0.7,-1.4
Eric Bennett,,,2014,Arkansas,DS,5.78,190,31.25,8.5,4.69,1.6,4.44,7.22,10,34.5,9.5,89.6,90.7,-1.7,-1.4
Clint Marsh,,,2014,Grambling State,OG,6.27,323,0,0,5.44,1.9,5.16,8.28,32,24,7.42,82.2,69.7,-0.6,-1.4
LaColtan Bester,,,2014,Oklahoma,WR,6.03,205,32,8.88,4.65,1.67,4.44,7.25,11,37,9,99.2,89.6,-0.7,-1.4
Jamonne Chester,,,2014,Lake Erie,WR,6.05,210,33.5,9.63,4.9,1.7,4.39,6.98,13,33,9.8,88.5,89.6,-1.6,-1.4
Vincent Eddie,,,2014,Louisiana Monroe,CB,5.67,160,0,0,4.58,1.6,4.24,6.82,3,34,9.67,85.3,93.2,-1.9,-1.4
Josh Moody,,,2014,Rhode Island,DE,6.28,268,33.25,9.75,5.16,1.78,4.7,7.77,20,31,8.83,83.8,85,-1.6,-1.4
Andrew Weaver,,,2014,Sam Houston State,OB,6.07,243,33,9.25,4.73,1.66,4.48,7.94,13,27,8.83,88.6,85,-1.3,-1.4
B.J. Butler,,,2014,Louisville,FB,6.14,283,32.63,8.88,4.93,1.83,4.85,7.86,22,28.5,8.75,94.9,80.4,-0.9,-1.4
Tyrone Saunders,,,2014,North Park,OG,6.11,320,0,0,5.43,1.93,4.95,7.77,21,26.5,7.5,79.2,69.4,-0.8,-1.4
Jay Scott,,,2014,SMU,DS,6.04,210,32,8.88,4.75,1.68,4.31,6.83,9,32,9.17,91.6,90.3,-1.5,-1.5
Kip Daily,,,2014,Kansas State,CB,5.93,184,0,0,4.52,1.64,4.33,7.17,11,29,9.92,90.7,92.9,-1.5,-1.5
Joshua Boyd,,,2014,Harvard,OB,6.05,227,31,9.75,4.87,1.65,4.46,7.61,17,33,8.75,94.6,87.7,-1,-1.5
Keidrick Jackson,,,2014,Midwestern State,RB,5.67,213,0,0,4.7,1.62,4.62,7.22,17,34,9.08,93.4,91.4,-1.4,-1.5
Shawn Jackson,,,2014,Tulsa,OB,5.86,255,30.88,9,4.91,1.77,4.47,7.31,11,30,9,88.1,87.6,-1.4,-1.5
Jake Fischer,,,2014,Arizona,OB,5.84,220,30.75,9.75,5,1.71,4.39,7,7,31,9.25,77.7,87.6,-2.1,-1.5
Brandon Potvin,,,2014,Massachusetts,DE,6.08,256,0,0,5.06,1.68,4.56,7.87,29,29,9,92.5,84.5,-1,-1.5
Christian Smith,,,2014,Toledo,DE,6.04,247,0,0,4.94,1.74,4.43,7.39,20,28,8.83,91.5,84.4,-1.1,-1.5
Jordan James,,,2014,Tulsa,WR,6.13,198,31.5,9.88,4.78,1.65,4.52,7.06,5,32.5,10.2,77.4,89,-2.5,-1.5
Tommy Gooden,,,2014,Jackson State,RB,5.75,215,0,0,4.59,1.62,4.75,7.53,21,33,9.17,97.9,91.1,-1.1,-1.5
Theo Agnew,,,2014,Georgia State,DE,6.34,288,0,0,5.22,1.83,4.75,7.84,23,29,8.67,86.7,84.3,-1.4,-1.5
Jesse Joseph,,,2014,Connecticut,DE,6.25,254,33.75,9.63,5.06,1.62,4.42,7.47,19,29.5,8.5,88.9,84.3,-1.3,-1.5
Eddie Porter,,,2014,Arkansas State,OB,6.12,254,0,0,4.86,1.81,4.83,8.04,14,33.5,9.42,89,87.3,-1.4,-1.5
Jarrett Neely,,,2014,Alabama State,WR,5.75,180,0,0,4.68,1.59,4.41,7.47,14,32.5,9.9,89.8,88.8,-1.5,-1.5
Robert Marshall,,,2014,Utah State,HB,6,219,0,0,4.8,1.66,4.7,7.47,16,31,8.83,83.7,79.7,-1.8,-1.5
Ernest Gilley,,,2014,Texas Southern,DE,6.19,254,0,0,4.95,1.74,4.65,7.53,19,30,9.08,86.8,84.1,-1.4,-1.5
Lucky Dozier,,,2014,Northern Arizona,DS,5.63,180,0,0,4.77,1.67,4.29,7.02,15,35.5,9.33,96.3,89.7,-1.2,-1.5
Isidore Jackson,,,2014,Bethune-Cookman,RB,5.64,185,0,0,4.68,1.59,4.37,7.68,14,32,9.5,91.7,90.8,-1.5,-1.5
Roman Wilson,,,2014,Princeton,WR,5.8,180,29.88,9.38,4.72,1.59,4.35,7.07,13,31.5,9.7,88,88.7,-1.6,-1.5
Philepae Phillips,,,2014,Lindenwood (IL),DE,6.23,252,0,0,4.9,1.83,4.91,7.64,20,31,9.42,87.9,83.9,-1.3,-1.5
Aaron Williams,,,2014,Troy,DT,6.28,267,0,0,5.21,1.79,5.09,8.04,22,29.5,8.17,77.6,74.2,-1.3,-1.5
Zack Craig,,,2014,Oklahoma State,DS,6.12,202,0,0,4.64,1.64,4.33,7.46,15,31,9.33,97.9,89.5,-1,-1.5
Junior Delpe,,,2014,Florida International,TE,6.31,240,0,0,5.09,1.73,4.7,7.65,15,29.5,9.67,72.5,80.3,-2.1,-1.5
Will Wright,,,2014,North Texas,OB,6.01,224,0,0,4.96,1.7,4.55,7.31,12,32.5,9.25,81.5,86.7,-1.8,-1.5
Lynrick Pleasant,,,2014,North Texas,WR,6.03,200,0,0,4.8,1.72,4.47,6.95,8,34,9.9,83.9,88.4,-2,-1.5
Devon Smith,,,2014,Marshall,WR,5.53,156,29,8.25,4.59,1.5,4.11,6.9,14,30.5,9,94.5,88.4,-1.1,-1.5
Kurt Freytag,,,2014,Purdue,FB,6.08,235,29.5,9.5,5.06,1.7,4.52,7.33,21,30,8.92,83.7,79.2,-1.8,-1.5
Chris Boyd,,,2014,Vanderbilt,WR,6.33,206,32.63,9.63,4.73,1.66,4.48,7.39,12,33.5,9.7,90.7,88.3,-1.4,-1.5
Malik Lofton,,,2014,West Alabama,WR,5.92,188,0,0,4.6,1.62,4.52,7.1,13,33,9.5,90,88.3,-1.5,-1.5
Travis Friend,,,2014,Bucknell,FB,6.12,251,0,0,5.06,1.66,4.47,7.41,30,25,8.75,88.2,79.1,-1.4,-1.5
Qua Cox,,,2014,Jackson State,CB,5.79,178,30.38,8.88,4.56,1.62,4.58,7.47,12,35.5,10.08,89.6,91.9,-1.6,-1.5
Dan Kruger,,,2014,Northern Iowa,OG,6.3,307,0,0,5.55,1.91,4.98,7.73,20,23.5,7.92,66.5,68.1,-1.8,-1.5
Alex Taylor,,,2014,Carson Newman,OG,6.18,292,0,0,5.37,1.83,4.63,7.85,25,23.5,7,77.1,68.1,-1,-1.5
Tyler Gaston,,,2014,UNLV,DT,6.21,301,0,0,5.2,1.87,4.98,7.87,15,26,7.83,76.5,73.7,-1.4,-1.5
Shermane TeArt,,,2014,Troy,DT,6.04,296,32,9.25,5.39,1.84,4.93,8.06,17,29.5,7.83,76.5,73.7,-1.4,-1.5
Will Lucas,,,2014,Purdue,OB,5.89,234,0,0,5.11,1.7,4.51,7.39,25,33,9.08,90.6,86.3,-1.3,-1.5
Tyrone Ezell,,,2014,Pittsburgh,DT,6.28,310,0,0,5.28,1.84,4.71,8.16,22,22,7.92,77.9,73.5,-1.3,-1.6
Chris Nwoke,,,2014,Colorado State,RB,5.81,225,0,0,4.81,1.55,4.42,7.03,17,29,8.67,91.7,89.8,-1.5,-1.6
Emmanuel McCray,,,2014,Ole Miss,OT,6.38,310,0,0,5.5,1.94,4.97,8.19,25,23.5,8.17,72.9,68.4,-1.1,-1.6
Tom Brandt,,,2014,Massachusetts,OB,5.98,229,0,0,4.85,1.72,4.46,8.43,14,26.5,9.67,82.4,85.8,-1.8,-1.6
Antonio Harper,,,2014,Tennessee State,OB,6.1,254,0,0,4.94,1.79,4.87,7.63,13,29.5,9.5,78.7,82.6,-1.9,-1.6
Tavarese Maye,,,2014,Louisiana Monroe,WR,5.96,183,0,0,4.59,1.62,4.57,6.96,13,32,9.7,85.8,87.6,-1.8,-1.6
Princeton Fuimaono,,,2014,Washington,OB,5.97,218,0,0,4.98,1.77,4.47,7.28,25,32,9.17,94,85.6,-1,-1.6
George Callender,,,2014,New Mexico State,DS,6.08,205,0,0,4.63,1.64,4.46,7.7,10,31,9.75,89,88.4,-1.7,-1.6
Travis Van Leeuween,,,2014,Utah State,WR,6.18,201,0,0,4.5,1.72,4.41,7.31,13,30.5,9.4,96.7,87.5,-0.9,-1.6
Kent Brooks,,,2014,Houston,DS,5.79,203,30,9.38,4.71,1.64,4.3,7.13,14,31,9.08,95.5,88.3,-1.2,-1.6
Derrick Demps,,,2014,Norfolk State,WR,5.8,179,0,0,4.74,1.65,4.46,6.63,8,34.5,9.5,82.6,87.4,-2.1,-1.6
Kelvin York,,,2014,Utah,RB,5.87,212,31,8.5,4.76,1.65,4.51,7.68,18,30,9.67,90.1,89.2,-1.6,-1.6
Marcus Bagley,,,2014,UTEP,DT,6.1,299,0,0,5.43,1.85,4.94,8.21,28,24.5,7.83,77.2,70,-1.5,-1.6
Okoye Houston,,,2014,Buffalo,DS,5.85,193,0,0,4.62,1.6,4.26,7.2,11,28.5,9.25,90.9,88.1,-1.6,-1.6
James Green,,,2014,Toledo,WR,6.13,210,0,0,4.64,1.68,4.43,7.44,7,31.5,9.6,88.3,87.2,-1.6,-1.6
Marquel Thomas,,,2014,Old Dominion,WR,6.1,179,0,0,4.7,1.64,4.54,7.08,8,32,10.3,77.7,87.2,-2.5,-1.6
Josh Sandoval,,,2014,CSU Pueblo,WR,5.89,184,0,0,4.72,1.64,4.18,6.78,4,31.5,9.2,85.4,87.2,-1.8,-1.6
Kapri Bibbs,,,2014,Colorado State,RB,5.78,212,31.38,8.5,4.54,1.53,4.61,7.5,24,29,8.83,98.3,89,-1,-1.6
Nehemiah Hicks,,,2014,Texas A&M,TE,6.28,256,32.25,9,4.98,1.76,4.75,7.84,20,29,8.92,84.5,78.6,-1.3,-1.6
Richard Morrison,,,2014,Arizona,CB,5.85,177,0,0,4.69,1.65,4.2,7.01,7,32.5,9.58,88.9,90.9,-1.6,-1.6
Champ Lee,,,2014,Louisville,DS,5.98,211,0,0,4.78,1.73,4.29,7.08,18,30,9.33,97.4,87.9,-1.1,-1.6
Stan McKay,,,2014,UCLA,DS,6,198,0,0,4.52,1.56,4.64,7.51,12,30,9.75,84.7,87.9,-2,-1.6
David Oku,,,2014,Arkansas State,RB,5.7,199,29.25,8.25,4.74,1.66,4.57,7.29,12,32.5,9.58,84,88.9,-2,-1.6
John Woolridge,,,2014,TCU,OG,6.34,311,0,0,5.11,1.91,5,8.22,25,22,7.83,83.4,66.8,-0.5,-1.6
Kiero Small,,,2014,Arkansas,FB,5.67,244,28.75,9.25,4.89,1.67,4.55,7.25,23,25,8.5,86.2,77.5,-1.6,-1.6
Darius Drummond,,,2014,South Carolina State,CB,5.83,196,0,0,4.78,1.58,4.58,7.19,11,34.5,9.83,83.4,90.7,-2.1,-1.6
Ioane Gauta,,,2014,Washington State,DE,6.18,277,0,0,5.25,1.77,4.65,7.54,22,28.5,8.33,81.9,81.5,-1.7,-1.6
Kadeem Williams,,,2014,Albany (NY),OT,6.55,330,35.5,10,5.56,1.95,5.21,8.35,17,27.5,7.58,72.2,67.4,-1.2,-1.6
Shane Gordon,,,2014,Pittsburgh,IB,5.95,226,0,0,4.75,1.68,4.69,7.28,18,29,9.17,85.7,86.9,-2,-1.6
Marcus Peters,,,2014,Central Arkansas,DS,6.13,193,0,0,4.62,1.65,4.63,7.68,5,33.5,10.25,79,87.6,-2.5,-1.6
Mister Cobble,,,2014,Kentucky,DT,6.02,333,0,0,5.49,1.92,5.07,8.57,26,23.5,7.75,77.8,69.6,-1.4,-1.6
Shaq Bell,,,2014,Colorado State,CB,5.87,198,0,0,4.63,1.59,4.4,6.8,10,27.5,9.58,84.1,90.6,-2,-1.6
Aaron Williams,,,2014,Arkansas State,OT,6.38,337,0,0,5.61,2.02,5.19,8.09,26,25.5,8.33,76.1,67.3,-0.9,-1.6
Jacori Greer,,,2014,New Mexico,DE,6.11,277,0,0,5.12,1.85,4.49,7.4,10,28,8.08,80.4,81.3,-1.8,-1.6
Dae'Quan Scott,,,2014,James Madison,RB,5.7,194,0,0,4.64,1.59,4.43,7.22,18,29.5,9,92.9,88.5,-1.4,-1.6
Damon Magazu,,,2014,East Carolina,DS,5.88,196,0,0,4.86,1.58,4.47,7.06,19,32,9.42,88.6,87.5,-1.7,-1.6
Terry Shankle,,,2014,North Carolina,CB,5.85,183,29.75,8.75,4.71,1.65,4.28,7.12,13,33,9.5,93.8,90.4,-1.2,-1.7
Donte Rumph,,,2014,Kentucky,DT,6.19,337,33.38,9.38,5.57,1.92,4.93,8.32,14,24,8,68.1,69.4,-2.4,-1.7
Jason Hendricks,,,2014,Pittsburgh,DS,5.88,182,30.88,9.25,4.81,1.68,4.34,6.84,7,29.5,10.08,76.8,87.3,-2.6,-1.7
Marcus Hall,,,2014,Ohio State,OG,6.39,312,33.5,8.63,5.55,1.97,4.9,8.04,25,23,8.25,71.4,66.3,-1.4,-1.7
Mike Marry,,,2014,Ole Miss,IB,6.23,256,31.75,9.25,4.95,1.73,4.77,7.54,17,30,9.33,84.3,86.5,-2.2,-1.7
Carey McKnight,,,2014,Alabama State,DS,5.79,186,0,0,4.62,1.58,4.4,7.28,14,31,9.25,91.4,87.1,-1.5,-1.7
A.J. Marshall,,,2014,Wake Forest,DS,5.93,189,30.25,8.5,4.66,1.63,4.48,7.4,11,35,9.33,90.8,87.1,-1.6,-1.7
Elisha Olabode,,,2014,TCU,DS,5.78,194,30,8.13,4.76,1.63,4.33,7.14,8,32,9.33,86.1,87.1,-1.9,-1.7
Pat McShane,,,2014,Kent State,OG,6.35,307,33,9.13,5.42,1.94,4.9,8.38,23,23.5,8,74.1,66.1,-1.2,-1.7
Rickey Bradley,,,2014,Southern Miss,WR,6.19,195,0,0,4.62,1.62,4.57,7.15,9,32,9.6,83.5,86.3,-2,-1.7
Diante Jackson,,,2014,Whittier College,WR,6.09,212,0,0,4.56,1.62,4.56,7.33,12,32,9.1,92.6,86.3,-1.3,-1.7
Bert White,,,2014,Northwestern State,DS,5.89,201,0,0,4.68,1.62,4.59,7.48,15,33,9.58,89.3,87,-1.7,-1.7
Jerrodd Williams,,,2014,Clemson,DS,6.01,197,0,0,4.68,1.63,4.58,7.26,11,31,9.83,82.1,87,-2.2,-1.7
Jordan Tavai,,,2014,Kansas,DT,6.19,301,0,0,5.43,1.81,5.07,8.13,16,25.5,8.17,68.4,71.6,-1.9,-1.7
Matthew Hornbuckle,,,2014,Central Arkansas,DT,5.95,271,0,0,5.37,1.82,4.66,7.85,23,27,8.17,74.7,71.6,-1.5,-1.7
Donovan Johnson,,,2014,Wofford,RB,5.6,197,0,0,4.78,1.59,4.4,7.23,15,32.5,8.83,91.3,87.8,-1.5,-1.7
Shaun Lewis,,,2014,Oklahoma State,OB,5.93,226,30.88,10,4.9,1.71,4.62,7.59,21,31,9.17,87.6,83.7,-1.5,-1.7
Dominique Robertson,,,2014,Tulane,DS,6.02,194,0,0,4.59,1.74,4.42,7.76,12,30,10.08,90,86.8,-1.6,-1.7
Dyron Dye,,,2014,Bethune-Cookman,DE,6.26,251,0,0,5.09,1.83,4.51,6.99,21,27.5,9.08,82.2,80.3,-1.7,-1.7
Tyrell Pearson,,,2014,South Alabama,CB,5.6,156,0,0,4.6,1.69,4.2,7,9,35.5,9.5,93.7,89.8,-1.2,-1.7
Defarrel Davis,,,2014,Central Michigan,WR,6.03,173,29.63,7.75,4.63,1.56,4.52,7.07,8,33,9.6,80.8,85.9,-2.2,-1.7
Mike Williams,,,2014,Cal (PA),WR,5.97,195,31,8.25,4.71,1.64,4.53,7.25,13,33,9.6,87.3,85.8,-1.7,-1.7
Dale Peterman,,,2014,Youngstown State,CB,5.86,183,0,0,4.69,1.63,4.59,7.2,12,34.5,10,84.5,89.6,-2,-1.7
Johnnie Houston,,,2014,Coastal Carolina,DS,5.93,209,0,0,4.61,1.63,4.5,7.36,15,30.5,9.17,93.2,86.4,-1.4,-1.7
Paul Morant,,,2014,Old Dominion,DS,5.93,208,0,0,4.69,1.64,4.54,7.19,16,30,9.42,88.7,86.4,-1.7,-1.7
Steve Greene,,,2014,Connecticut,OG,6.35,314,32.88,10.13,5.59,1.99,4.9,8.23,16,27.5,8,69.9,65.1,-1.5,-1.7
Nicholas Ovila,,,2014,New Mexico State,DE,6.33,270,0,0,4.95,1.77,4.82,7.81,19,25,8.25,81.8,79.3,-1.7,-1.8
Willie Gibson,,,2014,Cumberlands (KY),WR,5.83,186,0,0,4.56,1.66,4.49,7.35,11,32.5,9.5,89.5,85.3,-1.5,-1.8
Jai Steib,,,2014,Memphis,RB,5.73,209,0,0,4.73,1.65,4.32,7.44,16,31,8.67,97.4,86.8,-1.1,-1.8
Jarron Harris,,,2014,Texas San Antonio,DE,6.27,253,0,0,5.08,1.7,4.61,7.76,22,28.5,9,81.9,79.2,-1.7,-1.8
Denicos Allen,,,2014,Michigan State,OB,5.84,225,30.25,9.75,4.74,1.73,4.61,7.46,26,29,8.75,95.4,82.5,-0.9,-1.8
Kalonji Kashama,,,2014,Eastern Michigan,DE,6.25,248,0,0,5.03,1.66,4.7,7.47,14,21.5,9.75,63,78.9,-2.8,-1.8
C.J. Jones,,,2014,Clemson,CB,5.96,178,0,0,4.54,1.6,4.47,7.12,6,31.5,9.67,82.5,88.7,-2.2,-1.8
Nosa Eguae,,,2014,Auburn,DE,6.25,282,32.13,10.13,5.19,1.81,4.66,7.77,24,26.5,8.17,83.8,78.4,-1.6,-1.8
Ethan Armstrong,,,2014,Wisconsin,OB,6.13,232,32,9.88,4.93,1.73,4.59,7.26,14,29,9.08,79.2,81.7,-2,-1.8
Hunter Charneski,,,2014,Grand Valley State,OB,6.11,241,0,0,4.91,1.74,4.68,7.51,20,28.5,8.83,83.7,78.2,-1.6,-1.8
Dominique Allen,,,2014,Central Arkansas,OG,6.12,298,0,0,5.47,1.93,5.16,8.03,14,25,8,63.4,64.1,-2,-1.8
Keith Wells,,,2014,Ohio Dominican,DE,6.45,246,0,0,5.08,1.79,4.72,7.99,22,32.5,9.17,84,78,-1.6,-1.8
Waymon James,,,2014,TCU,RB,5.59,199,29.75,8.5,4.7,1.69,4.5,7.59,18,32,9.25,93.1,85.7,-1.4,-1.8
Beckett Wales,,,2014,Syracuse,TE,6.19,252,31.25,9.63,4.96,1.77,4.65,7.59,19,29.5,8.33,85,75,-1.3,-1.8
Nate Bonsu,,,2014,Colorado,DT,6.07,298,0,0,5.51,1.85,4.75,7.76,20,21.5,8.5,64.9,69.4,-2.1,-1.8
Tanner Brock,,,2014,Sam Houston State,IB,6.19,237,0,0,4.87,1.75,4.38,7.55,19,29.5,8.75,96.1,84.1,-1.2,-1.8
Tre Walker,,,2014,Kansas State,OB,6.2,225,33.63,9.25,4.93,1.82,4.57,7.17,15,30.5,9.17,81.9,81.2,-1.8,-1.8
Eduardo Clements,,,2014,Miami (FL),RB,5.77,192,0,0,4.72,1.72,4.37,7.35,10,31,9.33,86.3,85.5,-1.9,-1.8
Antoin Scriven,,,2014,Western Michigan,RB,5.96,217,0,0,5.09,1.69,4.5,7.12,17,33,9.5,80.9,85.5,-2.2,-1.8
Roderick McDowell,,,2014,Clemson,RB,5.72,204,30.63,9.25,4.69,1.69,4.4,7.35,18,28.5,9.08,92.7,85.4,-1.4,-1.8
Spencer Shuey,,,2014,Clemson,IB,6.2,245,31.5,9.5,4.91,1.74,4.59,7.35,18,29,9,86.1,83.8,-2,-1.9
Tazmon Foster,,,2014,North Carolina Central,OB,5.79,209,0,0,4.9,1.67,4.67,7.32,21,32,8.83,84.3,80.8,-1.7,-1.9
Jarvis Landry,63,MIA,2014,LSU,WR,5.96,205,31.25,10.25,4.61,1.58,4.59,7.56,12,30.5,9.4,86,83.8,-1.8,-1.9
Tim Vizzi,,,2014,San Diego State,WR,5.84,177,0,0,4.69,1.64,4.34,7.1,17,31.5,9.2,92.7,83.7,-1.2,-1.9
Taylor Sprague,,,2014,Trine (IN),OT,6.45,298,0,0,5.47,1.93,5.07,8.05,13,24.5,8,62.7,63.8,-1.8,-1.9
Tahj Jones,,,2014,LSU,DS,6.13,205,0,0,4.53,1.57,4.65,7.83,11,30.5,9.42,85.2,84.1,-2,-1.9
Randy Ponder,,,2014,Missouri,CB,5.77,195,0,0,4.71,1.64,4.38,7.15,15,30.5,9.42,91.1,87.6,-1.5,-1.9
Brandon McCoy,,,2014,North Texas,DE,6.12,244,0,0,5.21,1.76,4.64,7.59,21,30.5,9.33,76.9,76.9,-2,-1.9
Marcus Holyfield,,,2014,SMU,WR,6.03,194,0,0,4.7,1.64,4.63,7.25,14,33,9.6,84.5,83.5,-1.9,-1.9
Darius Millines,,,2014,CSU Pueblo,WR,5.97,191,0,0,4.57,1.59,4.32,7.13,13,30,8.6,94.5,83.5,-1.1,-1.9
Carlton Koonce,,,2014,Fordham,RB,5.61,173,0,0,4.64,1.7,4.49,7.1,18,29.5,9.5,85.9,84.7,-1.9,-1.9
D.J. Roberts,,,2014,Tennessee Martin,OB,6.04,252,0,0,4.9,1.72,4.77,7.53,18,28.5,8.5,83.6,76.7,-1.6,-1.9
D.J. Foster,,,2014,SE Missouri State,WR,6.24,194,0,0,4.69,1.66,4.59,7.34,6,32.5,9.8,78.1,83.4,-2.4,-1.9
Carl Fleming,,,2014,Indiana (PA),OB,6.05,227,0,0,4.82,1.75,4.64,7.46,13,28,9.25,78,80,-2.1,-1.9
Ray Ray Davis,,,2014,Emporia State,WR,6.01,205,0,0,4.75,1.58,4.36,7.29,18,28,9,91.3,83.1,-1.4,-1.9
Sean Parker,,,2014,Washington,DS,5.8,192,30.88,9,4.8,1.76,4.24,6.89,12,30.5,9.33,89.1,83.5,-1.7,-1.9
JaQuez Jenkins,,,2014,South Florida,DS,6.1,182,32.63,8.88,4.73,1.61,4.57,7.77,13,33,9.92,82.3,83.5,-2.2,-1.9
Justin Shade,,,2014,Samford,IB,5.75,238,0,0,5,1.68,4.53,7.42,16,29,9,81.6,82.9,-2.4,-1.9
Antonio Allen,,,2014,Fayetteville State,WR,6.17,183,0,0,4.68,1.62,4.66,7.28,8,31.5,10.1,74.4,83,-2.7,-1.9
Derrick Mays,,,2014,Texas Tech,CB,5.85,184,0,0,4.46,1.58,4.62,7,8,31,9.42,81.9,87,-2.2,-1.9
Damon Ogburn Jr.,,,2014,San Jose State,CB,5.8,188,0,0,4.65,1.69,4.51,6.78,17,31.5,9.42,90.3,87,-1.5,-1.9
Cqulin Hubert,,,2014,SE Louisiana,IB,6.11,237,0,0,4.94,1.71,4.56,7.18,18,30.5,8.67,86.9,82.8,-1.9,-1.9
Justin Foxx,,,2014,Duke,DE,6.21,253,0,0,5.16,1.75,4.89,7.77,28,32,8.83,85.9,76,-1.4,-1.9
Tyree Watkins,,,2014,Wagner,WR,5.97,202,0,0,4.68,1.57,4.38,6.8,15,29.5,8.4,92.1,82.9,-1.3,-1.9
